Source,EncounterNumber,EncounterID,CruiseID,KnownSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,UID
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_53_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,15187.5,12468.75,0.453,12937.5,15187.5,2718.75,13709.30233,690.968353,13687.5,13828.125,0.196610169,1.218045113,0.851851852,13125,13687.5,14250,1101.5625,0.2625,0,0,0,5055.147059,7113.970588,18470.98214,-43750,-0.422193878,1,1,15,0,15,0,54.66666667,23.33333333,22,2,0.437,0.437,1,0.437,0,0.437,4.415011038,0,1142
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_58_H.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,17906.25,12468.75,1.546,12468.75,15000,5437.5,14031.89433,805.0760723,13781.25,15187.5,0.358024691,1.436090226,0.83125,13781.25,13687.5,14718.75,656.25,1.565625,0,0,0,1667.179803,11597.9064,41813.8587,-44998.60491,-0.929225668,2,1,7,13,7,13,36.96319018,35.12269939,27.91411043,7,0.4,0.058,6.896551724,0.247,0.159029557,0.2755,4.527813713,0,1143
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_01_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,16593.75,8812.5,0.864,9187.5,8812.5,7781.25,12966.83282,2583.029247,12750,12703.125,0.612546125,1.882978723,1.042553191,14156.25,16500,11343.75,5015.625,1.4625,0,0,0,-443.6728395,17680.77601,23270.08929,-23302.86281,-0.998593584,0,0,2,2,1,3,41.4507772,50.25906736,8.29015544,1,0,0,0,0,0,0,0,0,1144
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_07_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,16312.5,10968.75,0.437,10968.75,16125,5343.75,14846.38554,1426.949659,15281.25,13640.625,0.391752577,1.487179487,0.680232558,14343.75,15281.25,16125,1781.25,0.478125,0,0,0,11835.80139,12674.21603,28711.73469,-17187.5,-1.670500928,0,0,6,1,5,2,53.79310345,24.13793103,22.06896552,1,0,0,0,0,0,0,0,0,1145
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_11_H.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,13593.75,8718.75,0.325,13593.75,8718.75,4875,11286.29032,1190.868195,10968.75,11156.25,0.43697479,1.559139785,1.559139785,11906.25,10875,10968.75,1078.125,0.50625,0,0,0,-15061.47541,16290.98361,18750,-28125,-0.666666667,0,0,2,2,2,3,22.91666667,58.33333333,18.75,2,0.064,0.064,1,0.064,0,0.064,6.153846154,0,1146
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_12_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,16968.75,9281.25,0.56,9281.25,16968.75,7687.5,12675.70755,1866.17194,12375,13125,0.585714286,1.828282828,0.546961326,11437.5,12375,14062.5,2578.125,0.740625,0,0,0,13960.45918,13960.45918,19808.75965,0,0,1,0,4,0,4,0,88.13559322,5.93220339,5.93220339,1,0,0,0,0,0,0,0,0,1147
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_17_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,18093.75,7125,1.226,8343.75,18093.75,10968.75,12030.03247,3226.098783,12468.75,12609.375,0.869888476,2.539473684,0.461139896,13593.75,7312.5,13125,5859.375,2.98125,0,0,0,8077.445652,26027.75621,23627.09768,-55791.50579,-0.423489156,2,0,2,2,4,0,77.45901639,19.26229508,3.278688525,4,0.613,0.187,3.278074866,0.389333333,0.213799751,0.368,3.262642741,0,1148
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_18_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,17625,7312.5,0.944,8718.75,15375,10312.5,11208.39185,2961.869856,11156.25,12468.75,0.827067669,2.41025641,0.567073171,12187.5,13593.75,8718.75,5437.5,2.840625,0,0,0,7078.541162,31695.16747,28835.90936,-57330.82707,-0.502973894,2,0,1,2,3,0,66.82926829,25.85365854,7.317073171,4,0.352,0.219,1.607305936,0.293333333,0.067869974,0.309,4.237288136,0,1149
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_21_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,20156.25,8812.5,0.96,9000,20156.25,11343.75,13059.73757,3731.715105,12468.75,14484.375,0.783171521,2.287234043,0.446511628,9187.5,12468.75,15937.5,6750,1.153125,0,0,0,11715.02976,12131.69643,21249.55799,-18750,-1.13330976,1,0,9,2,10,2,67.56756757,16.98841699,15.44401544,2,0.848,0.848,1,0.848,0,0.848,2.083333333,0,1150
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_22_H.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,19406.25,8343.75,0.725,8343.75,19406.25,11062.5,13454.15146,2339.751648,12750,13875,0.797297297,2.325842697,0.429951691,12375,12750,14250,1781.25,1.059375,0,0,0,15626.64128,16361.9354,30211.43353,-16666.66667,-1.812686012,2,2,10,0,9,1,61.03286385,20.18779343,18.77934272,5,0.512,0.01,51.2,0.1385,0.249049527,0.016,6.896551724,0,1151
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_23_H.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,20343.75,7781.25,0.875,7781.25,20343.75,12562.5,13512.5,2923.762148,12937.5,14062.5,0.893333333,2.614457831,0.382488479,12093.75,12937.5,14812.5,2718.75,1.21875,0,0,0,14307.49129,14307.49129,27284.05316,0,0,1,0,14,0,15,0,61.04868914,19.47565543,19.47565543,1,0,0,0,0,0,0,0,0,1152
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_25_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,19218.75,7781.25,0.821,8343.75,19218.75,11437.5,13176.41129,2944.375636,13218.75,13500,0.847222222,2.469879518,0.434146341,11437.5,13218.75,14437.5,3000,1.1625,0,0,0,13337.77829,15143.78479,25800.94538,-27812.5,-0.927674441,1,1,11,1,11,1,67.90697674,17.6744186,14.41860465,4,0.448,0.021,21.33333333,0.256,0.216723326,0.299,4.872107186,0,1153
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_27_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,14625,7875,0.709,14625,12375,6750,10259.32836,1984.228485,9843.75,11250,0.6,1.857142857,1.181818182,10968.75,7968.75,9187.5,3351.5625,1.0875,0,0,0,-3178.705693,16031.1493,18184.84043,-21651.78571,-0.839877166,1,0,0,1,1,0,42.20779221,50.64935065,7.142857143,2,0.288,0.288,1,0.288,0,0.288,2.820874471,0,1154
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_180000_Whistle_32_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,14437.5,5531.25,1.407,5906.25,7125,8906.25,9874.528302,2641.678181,9281.25,9984.375,0.892018779,2.610169492,0.828947368,9375,12750,13406.25,4406.25,3.80625,0,1,1,931.7505411,27896.71266,32804.80296,-47458.33333,-0.691233776,1,0,5,3,5,3,51.00864553,36.88760807,12.1037464,7,0.229,0.16,1.43125,0.194666667,0.023036203,0.195,4.975124378,0.710732054,1155
C:\Users\alebi\Documents\Stenella_frontalis_2023\TRAINING_SWA_1\S_frontalis_TRAINING_SWA_1\Sf_PMC_12_A110_065000_Whistle_07_H.wav,PMC_12_A110,PMC,PMC_12,S_frontalis,15000,7781.25,0.56,12562.5,15000,7218.75,10790.09434,2312.217465,11671.875,11390.625,0.633744856,1.927710843,0.8375,13031.25,7781.25,8343.75,4664.0625,1.303125,0,1,1,3981.717687,23565.05102,40172.37103,-57118.05556,-0.703321754,1,0,9,4,10,3,47.12643678,32.75862069,20.11494253,4,0.246,0.138,1.782608696,0.181333333,0.057073053,0.16,7.142857143,1.785714286,1156
/Users/drica/Desktop/PMC_Análises/PMC_12_A110/Sf_PMC_12_A110_065000_Whistle_03_M.wav,PMC_12_A110,PMC,PMC_12,S_frontalis,13406.25,5531.25,0.56,5531.25,10406.25,7875,9226.415094,2768.914295,9703.125,9468.75,0.831683168,2.423728814,0.531531532,6093.75,9656.25,12000,5507.8125,1.06875,0,0,0,8900.935374,20508.07823,24902.79378,-40625,-0.612991847,1,0,4,0,5,0,67.71653543,22.04724409,10.23622047,1,0,0,0,0,0,0,0,0,1157
/Users/drica/Desktop/PMC_Análises/PMC_12_A110/Sf_PMC_12_A110_065000_Whistle_04_M.wav,PMC_12_A110,PMC,PMC_12,S_frontalis,13406.25,7406.25,1.04,7406.25,7687.5,6000,11007.49362,1461.240914,10406.25,10406.25,0.576576577,1.810126582,0.963414634,12375,10875,10406.25,1804.6875,1.2,0,0,0,184.2948718,12139.42308,24031.25,-34283.08824,-0.700965147,1,0,7,5,7,5,41.09589041,35.34246575,23.56164384,7,0.144,0.037,3.891891892,0.080833333,0.036328593,0.072,6.730769231,0,1158
/Users/drica/Desktop/PMC_Análises/PMC_12_A110/Sf_PMC_12_A110_065000_Whistle_06_H.wav,PMC_12_A110,PMC,PMC_12,S_frontalis,16312.5,7968.75,0.583,12000,16312.5,8343.75,11105.96591,2223.45571,12000,12140.625,0.687258687,2.047058824,0.735632184,12937.5,8156.25,12000,4101.5625,1.378125,0,0,0,7501.228702,24490.08847,28582.40632,-84172.07792,-0.339571115,1,0,6,1,7,1,61.53846154,23.07692308,15.38461538,3,0.343,0.09,3.811111111,0.2165,0.178898016,0.2165,5.145797599,0,1159
/Users/drica/Desktop/PMC_Análises/PMC_12_A110/Sf_PMC_12_A110_065000_Whistle_08_H.wav,PMC_12_A110,PMC,PMC_12,S_frontalis,14250,8250,0.641,13218.75,11812.5,6000,11314.30785,2416.042363,11812.5,11250,0.533333333,1.727272727,1.119047619,14156.25,11437.5,8531.25,5250,1.125,0,0,0,-2237.723214,18335.19345,26104.00579,-41145.83333,-0.63442647,1,1,7,4,7,4,45.71428571,38.28571429,16,6,0.197,0.026,7.576923077,0.1238,0.072053452,0.113,9.360374415,0,1160
